No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
1,2201 R.E.N. Corporation,NutriProtek Alga21st,Inorganic Fertilizer,"N=0.5%, P2O5=3%, K2O=18%, O.M=41.21%",All Crops,1-7IF-7685,"August 13, 2026"
2,2201 R.E.N. Corporation,NutriProtek SeaHA,Inorganic Fertilizer,"N=10%, P2O5=1.67%, K2O=5%, O.M=8.33%, Humic Acid=4.17%",All Crops,1-7IF-7686,"August 14, 2026"
3,2201 R.E.N. Corporation,NutriProtek K-Gel Plus,Inorganic Fertilizer,"N=5%, P2O5=7%, K2O=32%, OM=12%",All Crops,1-1IF-8869,"October 07, 2025"
4,2201 R.E.N. Corporation,Nutriprotek N-Micro,Inorganic Foliar Fertilizer,"N=26%, Fe=0.20%, Mn=0.10%, Zn=0.10%",All Crops,1-1IF-7460,"February 06, 2026"
5,2201 R.E.N. Corporation,Nutriprotek Synergy,Biofertilizer,"MgO=25%, CaO=0.4%, Bacillus subtilis=1.0x1010 cfu/g",All Crops,1-7IF-0076,"September 15, 2025"
6,2HJL Development Corp.,King Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0476-TPA,"February 06, 2027"
7,2HJL Development Corp.,King Planters 21-0-0+24S Ammonium Sulphate,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-0854-TPA,"June 26, 2027"
8,2HJL Development Corp.,King Planters 4-0-48 Foliar,Inorganic Fertilizer,"N=4%, K2O=48%",All Crops,1-1LF-0938-TPA,"August 02, 2027"
9,2HJL Development Corp.,King Planters 15-15-30 Foliar,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%",All Crops,1-1LF-0939-TPA,"August 02, 2027"
10,6708 Crop Health Technologies Inc.,Flumetralin,Plant Growth Regulator,Flumetralin=13.7%-14%,Tobacco,1-5IF-0982-TPA,"May 16, 2026"
11,A6 Agrisource Limited Corporation,Dolomite,Soil Conditioner,"Ca=24%, Mg=11%",All Crops,1-6LF-1393,"December 20, 2026"
12,A6 Agrisource Limited Corporation,Limestone,Soil Conditioner,Ca=36%,All Crops,1-4LF-1272,"June 29, 2027"
13,ABG Trading Corporation,Haifa Yield Booster 12-2-44,Inorganic Fertilizer,"N=12%, P2O5=2%, K2O=44%",All Crops,1-1IF-8992,"March 06, 2026"
