crop_name,variety_and_condition,nutrient,soil_level,recommendation_amount,unit
AMPALAYA,,NITROGEN,L,90,kg/ha
AMPALAYA,,NITROGEN,M,50,kg/ha
AMPALAYA,,NITROGEN,H,40,kg/ha
AMPALAYA,,PHOSPHORUS,L,80,kg/ha
AMPALAYA,,PHOSPHORUS,M,50,kg/ha
AMPALAYA,,PHOSPHORUS,H,20,kg/ha
AMPALAYA,,POTASSIUM,L,60,kg/ha
AMPALAYA,,POTASSIUM,M,45,kg/ha
AMPALAYA,,POTASSIUM,H,30,kg/ha
UPO,,NITROGEN,L,90,kg/ha
UPO,,NITROGEN,M,50,kg/ha
UPO,,NITROGEN,H,40,kg/ha
UPO,,PHOSPHORUS,L,80,kg/ha
UPO,,PHOSPHORUS,M,50,kg/ha
UPO,,PHOSPHORUS,H,20,kg/ha
UPO,,POTASSIUM,L,60,kg/ha
UPO,,POTASSIUM,M,45,kg/ha
UPO,,POTASSIUM,H,30,kg/ha
BATAO,,NITROGEN,L,45,kg/ha
BATAO,,NITROGEN,M,40,kg/ha
BATAO,,NITROGEN,H,35,kg/ha
BATAO,,PHOSPHORUS,L,60,kg/ha
BATAO,,PHOSPHORUS,M,35,kg/ha
BATAO,,PHOSPHORUS,H,20,kg/ha
BATAO,,POTASSIUM,L,60,kg/ha
BATAO,,POTASSIUM,M,45,kg/ha
BATAO,,POTASSIUM,H,30,kg/ha
BEANS,String beans,NITROGEN,L,50,kg/ha
BEANS,String beans,NITROGEN,M,40,kg/ha
BEANS,String beans,NITROGEN,H,35,kg/ha
BEANS,String beans,PHOSPHORUS,L,90,kg/ha
BEANS,String beans,PHOSPHORUS,M,45,kg/ha
BEANS,String beans,PHOSPHORUS,H,20,kg/ha
BEANS,String beans,POTASSIUM,L,50,kg/ha
BEANS,String beans,POTASSIUM,M,40,kg/ha
BEANS,String beans,POTASSIUM,H,30,kg/ha
BEANS,Saguic,NITROGEN,L,45,kg/ha
BEANS,Saguic,NITROGEN,M,40,kg/ha
BEANS,Saguic,NITROGEN,H,35,kg/ha
BEANS,Saguic,PHOSPHORUS,L,60,kg/ha
BEANS,Saguic,PHOSPHORUS,M,35,kg/ha
BEANS,Saguic,PHOSPHORUS,H,20,kg/ha
BEANS,Saguic,POTASSIUM,L,60,kg/ha
BEANS,Saguic,POTASSIUM,M,45,kg/ha
