recommendationID,crop_name,growth_stage,soil_type,nitrogen_level,nitrogen_rate,phosphorus_level,phosphorus_rate,potassium_level,potassium_rate,unit_of_measure
1,AMPALAYA/UPO,N/A,N/A,L,90,L,80,L,60,kg/ha
2,AMPALAYA/UPO,N/A,N/A,M,50,M,50,M,45,kg/ha
3,AMPALAYA/UPO,N/A,N/A,H,40,H,20,H,30,kg/ha
4,BATAO,N/A,N/A,L,45,L,60,L,60,kg/ha
5,BATAO,N/A,N/A,M,40,M,35,M,45,kg/ha
6,BATAO,N/A,N/A,H,35,H,20,H,30,kg/ha
7,String beans,N/A,N/A,L,50,L,90,L,50,kg/ha
8,String beans,N/A,N/A,M,40,M,45,M,40,kg/ha
9,String beans,N/A,N/A,H,35,H,20,H,30,kg/ha
10,Saguic beans,N/A,N/A,L,45,L,60,L,60,kg/ha
11,Saguic beans,N/A,N/A,M,40,M,35,M,45,kg/ha
12,Saguic beans,N/A,N/A,H,35,H,20,H,30,kg/ha
13,Lima (Patani) beans,N/A,N/A,L,45,L,60,L,60,kg/ha
14,Lima (Patani) beans,N/A,N/A,M,40,M,35,M,45,kg/ha
15,Lima (Patani) beans,N/A,N/A,H,35,H,20,H,30,kg/ha
16,Vinged beans,Dwarf variety,N/A,L,40,L,40,L,15,kg/ha
17,Vinged beans,Dwarf variety,N/A,M,30,M,25,M,30,kg/ha
18,Vinged beans,Dwarf variety,N/A,H,20,H,10,H,30,kg/ha
19,Vinged beans,Tree type,N/A,L,60,L,30,L,45,kg/ha
20,Vinged beans,Tree type,N/A,M,40,M,20,M,30,kg/ha
21,Vinged beans,Tree type,N/A,H,30,H,10,H,20,kg/ha
22,CHAYOTE,N/A,N/A,L,60,L,80,L,60,kg/ha
23,CHAYOTE,N/A,N/A,M,50,M,50,M,45,kg/ha
24,CHAYOTE,N/A,N/A,H,40,H,20,H,30,kg/ha
25,CUCUMBER,N/A,N/A,L,100,L,100,L,60,kg/ha
26,CUCUMBER,N/A,N/A,M,80,M,60,M,45,kg/ha
27,CUCUMBER,N/A,N/A,H,60,H,30,H,30,kg/ha
28,PARSNIP,N/A,N/A,L,90,L,60,L,60,kg/ha
29,PARSNIP,N/A,N/A,M,60,M,35,M,45,kg/ha
30,PARSNIP,N/A,N/A,H,45,H,20,H,30,kg/ha
31,PATANI,N/A,N/A,L,45,L,60,L,60,kg/ha
32,PATANI,N/A,N/A,M,40,M,35,M,45,kg/ha
33,PATANI,N/A,N/A,H,65,H,20,H,30,kg/ha
34,PATOLA,N/A,N/A,L,90,L,80,L,60,kg/ha
35,PATOLA,N/A,N/A,M,60,M,50,M,45,kg/ha
36,PATOLA,N/A,N/A,H,30,H,20,H,30,kg/ha
37,PEAS,N/A,N/A,L,20,L,40,L,45,kg/ha
38,PEAS,N/A,N/A,M,10,M,35,M,30,kg/ha
39,PEAS,N/A,N/A,H,7,H,10,H,20,kg/ha
40,CARROT,N/A,N/A,L,90,L,90,L,120,kg/ha
41,CARROT,N/A,N/A,M,80,M,60,M,75,kg/ha
42,CARROT,N/A,N/A,H,70,H,30,H,30,kg/ha
43,GARLIC ONION,N/A,N/A,L,90,L,80,L,50,kg/ha
44,GARLIC ONION,N/A,N/A,M,60,M,50,M,30,kg/ha
45,GARLIC ONION,N/A,N/A,H,30,H,20,H,20,kg/ha
46,GINGER,Local,N/A,L,40,L,60,L,120,kg/ha
47,GINGER,Local,N/A,M,30,M,35,M,75,kg/ha
48,GINGER,Local,N/A,H,20,H,20,H,30,kg/ha
49,GINGER,Improved,N/A,L,80,L,60,L,120,kg/ha
50,GINGER,Improved,N/A,M,70,M,35,M,75,kg/ha
